"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R9,R8,R12,R10,R11";"RES_10k_0805";5;"10K";;;
2;"R15,R14,R13";"RES_2.2K_0805";3;"2.2K";;;
3;"D2,D1";"SMADIODE";2;"SK34A";;;
4;"SW2";"SW_Push_6mm_Tall_SW_TS02-66-100-BK-260-LCR-D";1;"TS02-66-100-BK-260-LCR-D";;;
5;"U2";"BQ24074_QFN16_3MM";1;"BQ24074";;;
6;"-UVC1,+BATT1,+UVC1,-BATT1,-SYS1,+SYS1";"1X01_BatteryTerminal_HandSolder";6;"~";;;
7;"R7,R5";"RES_1k_0805";2;"1K";;;
8;"C9,C3,C7,C5,C1,C4,C6,C2,C8";"CAP_10uF_0805(CAP_CL21_SAM)";9;"10 uF";;;
9;"JP1";"1X02_ROUND";1;"HEADER-1X2ROUND";;;
10;"D5";"LED_RGB_DIFFUSED_0606_150161M153130";1;"LED_RGB_DIFFUSED_0606_150161M153130";;;
11;"U3";"TPS22918TDBVRQ1_SOT95P280X145-6N";1;"TPS22918TDBVRQ1";;;
12;"C11";"CAP_470pF_0805";1;"470 pF";;;
13;"R3";"RES_100k_0805(RC0805N_PAN)";1;"100K";;;
14;"TP3";"TestPoint_PAD.03X.05";1;"+3V3(TP)";;;
15;"X2";"USB_C_CUSB31-CFM2AX-01-X";1;"USB Type C";;;
16;"C10";"CAP_1uF_0805";1;"10 uF";;;
17;"U1";"MCP1700T_3302E_TT(SOT-23_MC_MCH(";1;"MCP1700T-3302E/TT";;;
18;"TP1";"TestPoint_PAD.03X.05";1;"OUT(TP)";;;
19;"C12";"CAP_10uF_0805(CAP_CL21_SAM)";1;"1 uF";;;
20;"X1";"DCJACK_2MM_SMT";1;"2.1mm DC";;;
21;"D4";"LED_RED_0805(HSMC_C170)";1;"RED";;;
22;"D3";"LED_RED_0805(HSMC_C170)";1;"GREEN";;;
23;"JP3,JP2";"1X01_OVAL";2;"HEADER-1X1";;;
24;"C13";"CAP_10uF_0805(CAP_CL21_SAM)";1;"0.1 uF";;;
25;"TP2";"TestPoint_PAD.03X.05";1;"VLIPO(TP)";;;
26;"R2,R1";"RES_5.1k_0805";2;"5.1K";;;
27;"TP4";"TestPoint_PAD.03X.05";1;"VLOAD(TP)";;;
28;"UNK1A1,THERM1";"SOLDERJUMPER_CLOSEDWIRE";2;"SOLDERJUMPERCLOSED";;;
29;"R6";"RES_2k_0603";1;"2k";;;
30;"UNK0.5A1,UNK1.5A1";"SOLDERJUMPER_ARROW_NOPASTE";2;"SOLDERJUMPER";;;
31;"SW1";"ReedSwitch_CT10-1530-G1";1;"SW_Reed";;;
32;"SJ1,SJ2";"SOLDERJUMPER_2WAY_OPEN_NOPASTE";2;"~";;;
33;"R4";"RES_590_0805";1;"590";;;
34;"J1";"NUCLEO-L031K6";1;"Header 15X1_male";;;
