Ref,Val,Package,PosX,PosY,Rot,Side
"+SYS1","~","1X01_BatteryTerminal_HandSolder",238.251667,-72.789594,108.401000,bottom
"-SYS1","~","1X01_BatteryTerminal_HandSolder",237.439200,-69.799200,108.401000,bottom
"J1","Header 15X1_male","NUCLEO-L031K6",177.803092,-103.193657,52.577000,bottom
"R4","590","RES_590_0805",212.902800,-63.804800,56.250000,bottom
"R5","1K","RES_1k_0805",211.175600,-62.636400,56.250000,bottom
"R6","2k","RES_2k_0603",209.738165,-61.518800,56.250000,bottom
"R10","10K","RES_10k_0805",217.627200,-71.424800,146.400000,bottom
"R11","10K","RES_10k_0805",219.303600,-69.951600,146.400000,bottom
"R12","10K","RES_10k_0805",206.257725,-58.946953,-124.000000,bottom
"SJ1","~","SOLDERJUMPER_2WAY_OPEN_NOPASTE",200.796424,-62.752362,148.000000,bottom
"SJ2","~","SOLDERJUMPER_2WAY_OPEN_NOPASTE",201.956258,-60.800374,148.000000,bottom
"SW1","SW_Reed","ReedSwitch_CT10-1530-G1",186.436000,-105.410000,142.399000,bottom
"THERM1","SOLDERJUMPERCLOSED","SOLDERJUMPER_CLOSEDWIRE",208.026000,-60.198000,-124.800000,bottom
"UNK0.5A1","SOLDERJUMPER","SOLDERJUMPER_ARROW_NOPASTE",207.215675,-64.096153,56.800000,bottom
"UNK1.5A1","SOLDERJUMPER","SOLDERJUMPER_ARROW_NOPASTE",211.074000,-66.852800,57.600000,bottom
"UNK1A1","SOLDERJUMPERCLOSED","SOLDERJUMPER_CLOSEDWIRE",209.073094,-65.554127,56.000000,bottom
