Ref,Val,Package,PosX,PosY,Rot,Side
"+BATT1","~","1X01_BatteryTerminal_HandSolder",192.735200,-47.498000,106.800000,top
"+UVC1","~","1X01_BatteryTerminal_HandSolder",239.834257,-82.133986,-5.600000,top
"-BATT1","~","1X01_BatteryTerminal_HandSolder",189.613503,-48.621136,112.400000,top
"-UVC1","~","1X01_BatteryTerminal_HandSolder",239.674400,-85.859320,-5.600000,top
"C1","10 uF","CAP_10uF_0805(CAP_CL21_SAM)",218.744800,-62.788800,61.850000,top
"C2","10 uF","CAP_10uF_0805(CAP_CL21_SAM)",204.774800,-57.925400,90.000000,top
"C3","10 uF","CAP_10uF_0805(CAP_CL21_SAM)",217.819581,-67.571181,56.000000,top
"C4","10 uF","CAP_10uF_0805(CAP_CL21_SAM)",194.411600,-56.083200,51.600000,top
"C5","10 uF","CAP_10uF_0805(CAP_CL21_SAM)",232.817125,-70.949516,93.599000,top
"C6","10 uF","CAP_10uF_0805(CAP_CL21_SAM)",191.879645,-50.580705,-163.600000,top
"C7","10 uF","CAP_10uF_0805(CAP_CL21_SAM)",234.894859,-70.804220,93.599000,top
"C8","10 uF","CAP_10uF_0805(CAP_CL21_SAM)",195.201289,-49.584609,17.199000,top
"C9","10 uF","CAP_10uF_0805(CAP_CL21_SAM)",194.919600,-62.636400,-127.599000,top
"C10","10 uF","CAP_1uF_0805",217.881200,-74.828400,139.999000,top
"C11","470 pF","CAP_470pF_0805",219.951690,-81.738963,-130.400000,top
"C12","1 uF","CAP_10uF_0805(CAP_CL21_SAM)",222.125836,-78.853470,-128.799000,top
"C13","0.1 uF","CAP_10uF_0805(CAP_CL21_SAM)",223.599036,-80.021870,-128.799000,top
"D1","SK34A","SMADIODE",222.910400,-63.652400,61.850000,top
"D2","SK34A","SMADIODE",207.467200,-56.070500,90.000000,top
"D3","GREEN","LED_RED_0805(HSMC_C170)",239.624011,-78.079559,5.600000,top
"D4","RED","LED_RED_0805(HSMC_C170)",239.449389,-76.300738,5.600000,top
"D5","LED_RGB_DIFFUSED_0606_150161M153130","LED_RGB_DIFFUSED_0606_150161M153130",182.687649,-52.043744,-145.600000,top
"JP1","HEADER-1X2ROUND","1X02_ROUND",202.539600,-54.610000,-90.000000,top
"JP2","HEADER-1X1","1X01_OVAL",231.104419,-60.935285,-56.275000,top
"JP3","HEADER-1X1","1X01_OVAL",233.233919,-64.216822,-56.275000,top
"R1","5.1K","RES_5.1k_0805",200.507600,-54.343300,90.000000,top
"R2","5.1K","RES_5.1k_0805",204.774800,-54.749700,90.000000,top
"R3","100K","RES_100k_0805(RC0805N_PAN)",214.122000,-75.336400,-128.799000,top
"R7","1K","RES_1k_0805",221.538800,-68.326000,151.850000,top
"R8","10K","RES_10k_0805",214.426800,-61.366400,-33.750000,top
"R9","10K","RES_10k_0805",210.769200,-65.074800,-78.399000,top
"R13","2.2K","RES_2.2K_0805",191.955684,-76.435070,52.000000,top
"R14","2.2K","RES_2.2K_0805",193.936884,-77.959070,52.000000,top
"R15","2.2K","RES_2.2K_0805",196.019684,-79.533870,52.000000,top
"SW2","TS02-66-100-BK-260-LCR-D","SW_Push_6mm_Tall_SW_TS02-66-100-BK-260-LCR-D",199.778884,-86.849070,-37.000000,top
"TP1","OUT(TP)","TestPoint_PAD.03X.05",233.591928,-76.214178,16.800000,top
"TP2","VLIPO(TP)","TestPoint_PAD.03X.05",197.612000,-52.374800,0.000000,top
"TP3","+3V3(TP)","TestPoint_PAD.03X.05",191.160400,-57.150000,0.000000,top
"TP4","VLOAD(TP)","TestPoint_PAD.03X.05",234.391200,-84.378800,16.800000,top
"U1","MCP1700T-3302E/TT","MCP1700T_3302E_TT(SOT-23_MC_MCH(",195.343180,-59.442302,141.200000,top
"U2","BQ24074","BQ24074_QFN16_3MM",214.646248,-66.921327,-33.750000,top
"U3","TPS22918TDBVRQ1","TPS22918TDBVRQ1_SOT95P280X145-6N",218.405728,-78.491396,-39.200000,top
"X1","2.1mm DC","DCJACK_2MM_SMT",220.100195,-50.631001,-118.150000,top
"X2","USB Type C","USB_C_CUSB31-CFM2AX-01-X",203.301600,-47.193200,180.000000,top
